date,ticker,score,rank,position,suggested_lots
2026-05-20,1617.T,-0.03943112929,15,short,1
2026-05-20,1618.T,0.0366283049,4,long,1
2026-05-20,1619.T,0.003977587301,8,neutral,0
2026-05-20,1620.T,0.004406555878,7,neutral,0
2026-05-20,1621.T,-0.04043340794,16,short,1
2026-05-20,1622.T,0.00359649075,10,neutral,0
2026-05-20,1623.T,0.005669403762,6,neutral,0
2026-05-20,1624.T,0.002453620389,12,neutral,0
2026-05-20,1625.T,0.04466296265,2,long,0
2026-05-20,1626.T,0.003790312464,9,neutral,0
2026-05-20,1627.T,-0.04860449108,17,short,4
2026-05-20,1628.T,-0.004162497058,13,short,2
2026-05-20,1629.T,0.05054474441,1,long,179
2026-05-20,1630.T,-0.0394060767,14,short,1
2026-05-20,1631.T,0.04057544289,3,long,1
2026-05-20,1632.T,0.00305924096,11,neutral,0
2026-05-20,1633.T,0.005773890483,5,long,0
